PrincipalDetails,IsDuplicated,BloomFilter32Bit
aabar3031973,1,1643689933
aaliyahottens14121918,0,3567187259
aaliyahottens14121918,1,3567187259
aarobbstovm1931973,1,48879422
aaronbarsoum3031973,1,2877932438
aaronbarsoum3031973,0,2877932438
aaronjhvagcbarsoum3031973,1,3293510304
aarranmiles2021909,1,1951765392
abbecrisci2711989,1,2617922969
abbeycoleman1611910,1,3332573822
abbeycoleman1611910,0,3332573822
abbeycolquhoun761996,1,1195459061
abbeycolquhoun761996,0,1195459061
abbeycolquhoun761996,1,1195459061
abbeycolquhoun761996,1,1195459061
abbeycolquhoun761996,1,1195459061
abbeycolquhoun761996,1,1195459061
abbeycolquhoununibw161996,1,422898185
abbeycrisc2731989,1,2532058810
abbeycrisci2421989,1,1381397644
abbeycrisci27121959,1,3995108015
abbeycrisci2731989,1,1502198365
abbeycrisci2731989,1,1502198365
abbeycrisci2731989,1,1502198365
abbeycrisci2731989,1,1502198365
abbeycrisci2731989,1,1502198365
abbeycrisci2731989,0,1502198365
abbeycrisci731989,1,3485258446
abbeycrisci931989,1,3992198891
abbeycsitci2721989,1,2435973000
abbeydixon8101944,0,2637050382
abbeyfgreen1431930,1,2060261483
abbeyfinlay211971,1,478206880
abbeyfinlay28101971,0,2424863524
abbeyfinlay28101971,1,2424863524
abbeyfinlay28101971,1,2424863524
abbeyfinlay28101971,1,2424863524
abbeyfinlaynhezvjy21101975,1,4069856435
abbeygonsalex2421945,0,1660815404
abbeygreen1431930,0,1083194011
abbeyhoffman2591907,1,949198190
abbeyhoffman2591907,0,949198190
abbeyhoffnao2591907,1,2340867208
abbeyjfubrgreenc3161930,1,1875832573
abbeykluske561993,1,4131623035
abbeykluske561993,1,4131623035
abbeykluske561993,1,4131623035
abbeykluske561993,0,4131623035
abbeylewkowicz281924,1,1053772530
abbeylewkowicz281924,0,1053772530
abbeymalin2831985,1,3912782897
abbeymalin2831985,0,3912782897
abbeymalin2831985,1,3912782897
abbeymatthews681985,1,3452750421
abbeymatthews681985,0,3452750421
abbeymatthews681985,1,3452750421
abbeymilburn14111963,0,2192763908
abbeyoats31101947,1,25078899
abbeyoats31101947,1,25078899
abbeyoats31101947,1,25078899
abbeyoats31101947,0,25078899
abbeyoatsg2011996,1,3565218129
abbeypaine2711908,0,214321540
abbeyparfilo12111989,1,1063668714
abbeyparfilo12111989,1,1063668714
abbeyparfilo12111989,0,1063668714
abbeypfmatthews681985,1,3899204648
abbeyquill531915,0,2758481956
abbeyquill531915,1,2758481956
abbeyquill531915,1,2758481956
abbeyrawlings16101986,0,1352244118
abbeyrhkgntsimmonds5121914,1,3842782637
abbeysimmonds5121914,1,2474777977
